"varname","shortdesc","shrtname","longname","version","shrtcite","longcite","url"
"onset_ko_gov_flag","Binary flag indicating governmental conflict onset / ko option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_ko_eth_flag","Binary flag indicating ethnic conflict onset / ko option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_ko_eth_flag","Binary flag indicating ethnic conflict onset / ko option","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"onset_ko_noneth_flag","Binary flag indicating nonethnic conflict onset / ko option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_ko_noneth_flag","Binary flag indicating nonethnic conflict onset / ko option","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"onset_ko_terr_eth_flag","Binary flag indicating territorial ethnic conflict onset / ko option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_ko_terr_eth_flag","Binary flag indicating territorial ethnic conflict onset / ko option","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"onset_ko_gov_eth_flag","Binary flag indicating governmental ethnic conflict onset / ko option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_ko_gov_eth_flag","Binary flag indicating governmental ethnic conflict onset / ko option","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"onset_ko_terr_noneth_flag","Binary flag indicating territorial nonethnic conflict onset / ko option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_ko_terr_noneth_flag","Binary flag indicating territorial nonethnic conflict onset / ko option","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"onset_ko_gov_noneth_flag","Binary flag indicating governmental nonethnic conflict onset / ko option","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"onset_ko_gov_noneth_flag","Binary flag indicating governmental nonethnic conflict onset / ko option","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"incidence_flag","Binary flag indicating ongoing conflict","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"incidence_terr_flag","Binary flag indicating ongoing territorial conflict","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"incidence_gov_flag","Binary flag indicating ongoing governmental conflict","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"incidence_eth_flag","Binary flag indicating ongoing ethnic conflict","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"incidence_eth_flag","Binary flag indicating ongoing ethnic conflict","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"incidence_noneth_flag","Binary flag indicating ongoing non-ethnic conflict","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"incidence_noneth_flag","Binary flag indicating ongoing non-ethnic conflict","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"incidence_terr_eth_flag","Binary flag indicating ongoing territorial ethnic conflict","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"incidence_terr_eth_flag","Binary flag indicating ongoing territorial ethnic conflict","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"incidence_gov_eth_flag","Binary flag indicating ongoing governmental ethnic conflict","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"incidence_gov_eth_flag","Binary flag indicating ongoing governmental ethnic conflict","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
"incidence_terr_noneth_flag","Binary flag indicating ongoing territorial nonethnic conflict","ACD","UCDP Armed Conflict Dataset","v20.1","Gleditsch et al. (2002)","Gleditsch, N. P., P. Wallensteen, M. Eriksson, M. Sollenberg, and H. Strand (2002). Armed conflict 1946-2001: A new dataset. Journal of Peace Research 39 (5).","http://www.pcr.uu.se/research/ucdp/datasets/"
"incidence_terr_noneth_flag","Binary flag indicating ongoing territorial nonethnic conflict","ACD2EPR","ACD2EPR Docking Dataset","v2021","Wucherpfenning et al. (2011)","Wucherpfennig, J., N. Metternich, L.-E. Cederman, and K. S. Gleditsch (2012). Ethnicity, the state and the duration of civil war. World Politics 64 (1).","http://www.icr.ethz.ch/data"
