"id","camp_name","year","location","loc_cow","prim_meth","camp_orgs","camp_orgs_list","div_ethnicity","div_religion","EPR_GROUP","EPR_ID","PARTICIPATION","PRIMARY","CLAIM","SOURCES","NOTES","status","egip_participated","egip_claimed","egip_participated_claimed","statename","egip_groups_count","excl_groups_count","regaut_groups_count","discrim_groups_count","powerless_groups_count","egippop","exclpop","alonerule_groups_count","powershare_groups_count","alonerulepop","powersharepop","IFI","EFI","legippop","lexclpop","discrimpop","ldiscrimpop","powerlesspop","lpowerlesspop"
16,"Anti-Fujimori",2000,"Peru",135,1,4,"Alianza Popular Revolucionaria Americana (ARPA), Alianza Popular (AP), Peru Posible (PP), Union Por el Peru",1,0,"Whites/mestizos",13502000,1,1,0,"WCRWWA","","DOMINANT",1,0,0,"Peru",1,3,0,0,3,0.52,0.423,1,0,0.52,0,0.2704,0.132965,0.551431601272534,0.448568398727466,0,0,0.423,0.448568398727466
16,"Anti-Fujimori",2000,"Peru",135,1,4,"Alianza Popular Revolucionaria Americana (ARPA), Alianza Popular (AP), Peru Posible (PP), Union Por el Peru",1,0,"Indigenous People of the Andes",13501000,1,0,0,"WCRWWA","","POWERLESS",1,0,0,"Peru",1,3,0,0,3,0.52,0.423,1,0,0.52,0,0.2704,0.132965,0.551431601272534,0.448568398727466,0,0,0.423,0.448568398727466
16,"Anti-Fujimori",2000,"Peru",135,1,4,"Alianza Popular Revolucionaria Americana (ARPA), Alianza Popular (AP), Peru Posible (PP), Union Por el Peru",1,0,"AfroPeruvians",13504000,1,0,0,"WCRWWA","","POWERLESS",1,0,0,"Peru",1,3,0,0,3,0.52,0.423,1,0,0.52,0,0.2704,0.132965,0.551431601272534,0.448568398727466,0,0,0.423,0.448568398727466
16,"Anti-Fujimori",2000,"Peru",135,1,4,"Alianza Popular Revolucionaria Americana (ARPA), Alianza Popular (AP), Peru Posible (PP), Union Por el Peru",1,0,"Indigenous Peoples of the Amazon",13505000,1,0,0,"WCRWWA","","POWERLESS",1,0,0,"Peru",1,3,0,0,3,0.52,0.423,1,0,0.52,0,0.2704,0.132965,0.551431601272534,0.448568398727466,0,0,0.423,0.448568398727466
17,"Anti-Gayoom",2003,"Maldives",781,1,1,"Pro-democracy movement",0,0,"Maldivans ",NA,NA,NA,NA,"WCRW","Maldives not in EPR. http://www.worldsecuritynetwork.com/Asia/Ramachandran-Sudha/Growing-Signs-of-Unrest-in-the-Maldives",NA,0,0,0,"Maldives",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,"Anti-Jaafar",1985,"Sudan",625,1,7,"",1,0,"Shaygiyya, Ja'aliyyin and Danagla (Arab)",62512000,1,1,0,"El Affendi 2012, p. 300","People from every class, ethnicity and neighbourhood took part ","DOMINANT",1,0,0,"Sudan",1,12,0,0,12,0.15,0.82,1,0,0.15,0,0.0225,0.1096,0.154639175257732,0.845360824742268,0,0,0.82,0.845360824742268
18,"Anti-Jaafar",1985,"Sudan",625,1,7,"",1,0,"Azande",62501000,1,0,0,"El Affendi 2012, p. 305","People from every class, ethnicity and neighbourhood took part ","POWERLESS",1,0,0,"Sudan",1,12,0,0,12,0.15,0.82,1,0,0.15,0,0.0225,0.1096,0.154639175257732,0.845360824742268,0,0,0.82,0.845360824742268
18,"Anti-Jaafar",1985,"Sudan",625,1,7,"",1,0,"Bari",62502000,1,0,0,"El Affendi 2012, p. 306","People from every class, ethnicity and neighbourhood took part ","POWERLESS",1,0,0,"Sudan",1,12,0,0,12,0.15,0.82,1,0,0.15,0,0.0225,0.1096,0.154639175257732,0.845360824742268,0,0,0.82,0.845360824742268
18,"Anti-Jaafar",1985,"Sudan",625,1,7,"",1,0,"Beja",62503000,1,0,0,"El Affendi 2012, p. 302","People from every class, ethnicity and neighbourhood took part ","POWERLESS",1,0,0,"Sudan",1,12,0,0,12,0.15,0.82,1,0,0.15,0,0.0225,0.1096,0.154639175257732,0.845360824742268,0,0,0.82,0.845360824742268
18,"Anti-Jaafar",1985,"Sudan",625,1,7,"",1,0,"Dinka",62504000,1,0,0,"El Affendi 2012, p. 300","People from every class, ethnicity and neighbourhood took part ","POWERLESS",1,0,0,"Sudan",1,12,0,0,12,0.15,0.82,1,0,0.15,0,0.0225,0.1096,0.154639175257732,0.845360824742268,0,0,0.82,0.845360824742268
18,"Anti-Jaafar",1985,"Sudan",625,1,7,"",1,0,"Fur",62505000,1,0,0,"El Affendi 2012, p. 307","People from every class, ethnicity and neighbourhood took part ","POWERLESS",1,0,0,"Sudan",1,12,0,0,12,0.15,0.82,1,0,0.15,0,0.0225,0.1096,0.154639175257732,0.845360824742268,0,0,0.82,0.845360824742268
18,"Anti-Jaafar",1985,"Sudan",625,1,7,"",1,0,"Latoka",62506000,1,0,0,"El Affendi 2012, p. 308","People from every class, ethnicity and neighbourhood took part ","POWERLESS",1,0,0,"Sudan",1,12,0,0,12,0.15,0.82,1,0,0.15,0,0.0225,0.1096,0.154639175257732,0.845360824742268,0,0,0.82,0.845360824742268
18,"Anti-Jaafar",1985,"Sudan",625,1,7,"",1,0,"Nuba",62507000,1,0,0,"El Affendi 2012, p. 303","People from every class, ethnicity and neighbourhood took part ","POWERLESS",1,0,0,"Sudan",1,12,0,0,12,0.15,0.82,1,0,0.15,0,0.0225,0.1096,0.154639175257732,0.845360824742268,0,0,0.82,0.845360824742268
18,"Anti-Jaafar",1985,"Sudan",625,1,7,"",1,0,"Nuer",62508000,1,0,0,"El Affendi 2012, p. 304","People from every class, ethnicity and neighbourhood took part ","POWERLESS",1,0,0,"Sudan",1,12,0,0,12,0.15,0.82,1,0,0.15,0,0.0225,0.1096,0.154639175257732,0.845360824742268,0,0,0.82,0.845360824742268
18,"Anti-Jaafar",1985,"Sudan",625,1,7,"",1,0,"Other Southern groups",62511000,1,0,0,"El Affendi 2012, p. 301","People from every class, ethnicity and neighbourhood took part ","POWERLESS",1,0,0,"Sudan",1,12,0,0,12,0.15,0.82,1,0,0.15,0,0.0225,0.1096,0.154639175257732,0.845360824742268,0,0,0.82,0.845360824742268
18,"Anti-Jaafar",1985,"Sudan",625,1,7,"",1,0,"Shilluk",62513000,1,0,0,"El Affendi 2012, p. 309","People from every class, ethnicity and neighbourhood took part ","POWERLESS",1,0,0,"Sudan",1,12,0,0,12,0.15,0.82,1,0,0.15,0,0.0225,0.1096,0.154639175257732,0.845360824742268,0,0,0.82,0.845360824742268
18,"Anti-Jaafar",1985,"Sudan",625,1,7,"",1,0,"Masalit",62514000,1,0,0,"El Affendi 2012, p. 310","People from every class, ethnicity and neighbourhood took part ",NA,1,0,0,"Sudan",1,12,0,0,12,0.15,0.82,1,0,0.15,0,0.0225,0.1096,0.154639175257732,0.845360824742268,0,0,0.82,0.845360824742268
18,"Anti-Jaafar",1985,"Sudan",625,1,7,"",1,0,"Zaghawa",62515000,1,0,0,"El Affendi 2012, p. 311","People from every class, ethnicity and neighbourhood took part ",NA,1,0,0,"Sudan",1,12,0,0,12,0.15,0.82,1,0,0.15,0,0.0225,0.1096,0.154639175257732,0.845360824742268,0,0,0.82,0.845360824742268
18,"Anti-Jaafar",1985,"Sudan",625,1,7,"",1,0,"Rashaida",62516000,1,0,0,"El Affendi 2012, p. 312","People from every class, ethnicity and neighbourhood took part ",NA,1,0,0,"Sudan",1,12,0,0,12,0.15,0.82,1,0,0.15,0,0.0225,0.1096,0.154639175257732,0.845360824742268,0,0,0.82,0.845360824742268
19,"Anti-Jimenez",1957,"Venezuela",101,1,1,"Junta Patriotica",1,0,"Whites/mestizos",10101000,1,1,0,"NAVCO2.1","EPR describes ethnicity as irrelevant during this period","IRRELEVANT",0,0,0,"Venezuela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Anti-Jimenez",1957,"Venezuela",101,1,1,"Junta Patriotica",1,0,"Afrovenezuelans",10102000,1,0,0,"NAVCO2.1","EPR describes ethnicity as irrelevant during this period",NA,0,0,0,"Venezuela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"Anti-Jimenez",1957,"Venezuela",101,1,1,"Junta Patriotica",1,0,"Indigenous peoples",10103000,1,0,0,"NAVCO2.1","EPR describes ethnicity as irrelevant during this period",NA,0,0,0,"Venezuela",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"Anti-Khan",1968,"Pakistan",770,1,11,"All-Pakistan Student Action Committee, East Pakistan Awami League, Jamaat-i-Islami, National Awami Party (NAP), National Democratic Front (NDF), People's Party, Council Muslim League, Nizam-i-Islam, Awami League.",1,0,"Sindhi",77006000,1,1,1,"WCRWWA","https://www.dawn.com/news/1128832","POWERLESS",1,1,1,"Pakistan",4,4,0,2,2,0.372,0.61,0,4,0,0.372,0.092504,0.3043,0.378818737270876,0.621181262729124,0.56,0.570264765784114,0.05,0.0509164969450102
