;NVC1.3_LOCATION;NVC1.3_BYEAR;NVC1.3_EYEAR;NVC1.3_CAMPAIGN;NVC1.3_SUCCESS;NVC1.3_LIMITED;NVC1.3_FAILURE;NVC1.3_ONGOING;NVC1.3_VIOL;NVC1.3_NONVIOL;NVC1.3_FSELFDET;NVC1.3_REGCHANGE;NVC1.3_SECESSION;NVC1.3_CAMPAIGN.1;NVC1.3_cow
609;Yugoslavia;1941;1945;Balkan resistance;0;0;0;0;1;0;1;0;0;1;345
610;Yugoslavia;1970;1971;Croatian nationalists;0;0;1;0;0;1;0;0;1;1;345
611;Yugoslavia;1981;1981;Kosovo Albanian nationalist movement;0;0;1;0;0;1;0;0;1;1;345
612;Yugoslavia;1988;1998;Kosovo Albanian;0;0;1;0;0;1;0;0;1;1;345
613;Yugoslavia;1991;1992;Croats;1;0;0;0;1;0;0;0;1;1;345
614;Congo - Kinshasa;1977;1978;FLNC;0;0;1;0;1;0;0;1;0;1;490
615;Congo - Kinshasa;1991;1993;Sacred Union;0;0;1;0;1;0;0;1;0;1;490
616;Congo - Kinshasa;1960;1965;Katanga-led leftists;0;0;1;0;1;0;0;0;1;1;490
617;Zambia;1990;1991;Zambia anti-single party rule;1;0;0;0;0;1;0;1;0;1;551
618;Zambia;2001;2001;anti-Chiluba campaign;1;0;0;0;0;1;0;1;0;1;551
619;Zambia;1961;1963;Zambian independence movement;1;0;0;0;0;1;1;0;0;1;551
620;Zimbabwe;1972;1979;Zimbabwe African People's Union;0;1;0;0;1;0;0;1;0;1;552
621;Zimbabwe;1983;1987;PF-ZAPU guerillas;0;1;0;0;1;0;0;1;0;1;552
622;Zimbabwe;2016;2017;Anti-Mugabe;1;0;0;0;0;1;0;1;0;1;552
