;NVC1.3_LOCATION;NVC1.3_BYEAR;NVC1.3_EYEAR;NVC1.3_CAMPAIGN;NVC1.3_SUCCESS;NVC1.3_LIMITED;NVC1.3_FAILURE;NVC1.3_ONGOING;NVC1.3_VIOL;NVC1.3_NONVIOL;NVC1.3_FSELFDET;NVC1.3_REGCHANGE;NVC1.3_SECESSION;NVC1.3_CAMPAIGN.1;NVC1.3_cow
128;Congo - Kinshasa;1998;2002;Second Congo War;0;0;1;0;1;0;0;1;0;1;490
129;Congo - Kinshasa;2006;2008;CNDP;0;0;1;0;1;0;0;1;0;1;490
130;Congo - Kinshasa;2012;2013;M23;0;0;1;0;1;0;0;1;0;1;490
131;Congo - Kinshasa;2017;2018;anti-Kabila campaign;1;0;0;0;0;1;0;1;0;1;490
132;Denmark;1940;1943;Danish resistance;0;1;0;0;0;1;1;0;0;1;390
133;Djibouti;1991;1994;Afar insurgency;0;0;1;0;1;0;0;1;0;1;522
134;Djibouti;2011;2011;Djibouti Arab Spring;0;0;1;0;0;1;0;1;0;1;522
135;Dominican Republic;1961;1962;anti-Balaguer strikes;1;0;0;0;0;1;0;1;0;1;42
136;Dominican Republic;1965;1965;leftists;0;0;1;0;1;0;0;1;0;1;42
137;Dominican Republic;1916;1924;Dominican insurgency;0;0;1;0;1;0;1;0;0;1;42
138;German Democratic Republic;1953;1953;East German uprising;0;0;1;0;0;1;0;1;0;1;265
139;German Democratic Republic;1989;1989;pro-dem movement;0;1;0;0;0;1;0;1;0;1;265
140;Timor-Leste;1975;1979;Freitilin;0;0;1;0;1;0;1;0;0;1;860
141;Timor-Leste;1989;1999;Timorese resistance;1;0;0;0;0;1;1;0;0;1;860
142;Timor-Leste;2006;2006;Anti-Alkatiri;1;0;0;0;0;1;0;1;0;1;860
143;Ecuador;1965;1966;1965 Anti-Junta Campaign;1;0;0;0;0;1;0;1;0;1;130
144;Ecuador;1997;1997;1997 Anti-Bucaram Campaign;1;0;0;0;0;1;0;1;0;1;130
145;Ecuador;2000;2000;2000 Anti-Mahuad Protests;1;0;0;0;0;1;0;1;0;1;130
146;Ecuador;2004;2004;2004 Anti-Gutierrez Protests;1;0;0;0;0;1;0;1;0;1;130
147;Ecuador;2005;2005;Rebellion of the Forajidos;1;0;0;0;0;1;0;1;0;1;130
148;Ecuador;2015;2017;Out Correa Campaign;0;1;0;0;0;1;0;1;0;1;130
149;Egypt;1918;1922;Egyptian Revolution for Independence;1;0;0;0;0;1;1;0;0;1;651
150;Egypt;1992;1999;Egyptian Insurgency-Jamaat Al Islamiyya;0;0;1;0;1;0;0;1;0;1;651
151;Egypt;2000;2005;Kefaya;0;1;0;0;0;1;0;1;0;1;651
152;Egypt;2007;2011;Anti-Mubarak movement;1;0;0;0;0;1;0;1;0;1;651
153;Egypt;2013;2019;Sinai Insurgency;0;0;1;1;1;0;0;1;0;1;651
154;Egypt;2013;2013;Anti-Morsi Protests;1;0;0;0;0;1;0;1;0;1;651
155;Egypt;2013;2014;Pro-Morsi Protests;0;0;1;0;0;1;0;1;0;1;651
156;Egypt;2019;2019;anti-Sisi protests;0;0;1;0;0;1;0;1;0;1;651
157;El Salvador;1932;1932;leftist rebellion;0;0;1;0;1;0;0;1;0;1;92
