"","gwid","statename","from","to","group","groupid","gwgroupid","umbrella","size","status","reg_aut"
"2304",530,"Ethiopia",2013,2019,"Anuak",12000,53012000,NA,0.0012,"DISCRIMINATED","false"
"2305",530,"Ethiopia",2013,2019,"Harari",5000,53005000,NA,4e-04,"POWERLESS","false"
"2306",530,"Ethiopia",2020,2020,"Oroma",6000,53006000,NA,0.3439,"SENIOR PARTNER","true"
"2307",530,"Ethiopia",2020,2020,"Amhara",2000,53002000,NA,0.2695,"JUNIOR PARTNER","true"
"2308",530,"Ethiopia",2020,2020,"Other Southern Nations",7000,53007000,NA,0.1614,"JUNIOR PARTNER","true"
"2309",530,"Ethiopia",2020,2020,"Somali (Ogaden)",8000,53008000,NA,0.0622,"JUNIOR PARTNER","false"
"2310",530,"Ethiopia",2020,2020,"Tigry",9000,53009000,NA,0.0608,"SENIOR PARTNER","true"
"2311",530,"Ethiopia",2020,2020,"Sidama",13000,53013000,NA,0.041,"POWERLESS","true"
"2312",530,"Ethiopia",2020,2020,"Afar",1000,53001000,NA,0.0173,"JUNIOR PARTNER","false"
"2313",530,"Ethiopia",2020,2020,"Beni-Shugal-Gumez",3000,53003000,NA,0.0106,"JUNIOR PARTNER","false"
"2314",530,"Ethiopia",2020,2020,"Anuak",12000,53012000,NA,0.0012,"JUNIOR PARTNER","false"
"2315",530,"Ethiopia",2020,2020,"Harari",5000,53005000,NA,4e-04,"JUNIOR PARTNER","false"
"2316",530,"Ethiopia",2021,2021,"Oroma",6000,53006000,NA,0.3439,"SENIOR PARTNER","true"
"2317",530,"Ethiopia",2021,2021,"Amhara",2000,53002000,NA,0.2695,"JUNIOR PARTNER","true"
"2318",530,"Ethiopia",2021,2021,"Other Southern Nations",7000,53007000,NA,0.1614,"JUNIOR PARTNER","true"
"2319",530,"Ethiopia",2021,2021,"Somali (Ogaden)",8000,53008000,NA,0.0622,"JUNIOR PARTNER","false"
"2320",530,"Ethiopia",2021,2021,"Tigry",9000,53009000,NA,0.0608,"DISCRIMINATED","false"
"2321",530,"Ethiopia",2021,2021,"Sidama",13000,53013000,NA,0.041,"POWERLESS","true"
"2322",530,"Ethiopia",2021,2021,"Afar",1000,53001000,NA,0.0173,"JUNIOR PARTNER","false"
"2323",530,"Ethiopia",2021,2021,"Beni-Shugal-Gumez",3000,53003000,NA,0.0106,"JUNIOR PARTNER","false"
"2324",530,"Ethiopia",2021,2021,"Anuak",12000,53012000,NA,0.0012,"JUNIOR PARTNER","false"
"2325",530,"Ethiopia",2021,2021,"Harari",5000,53005000,NA,4e-04,"JUNIOR PARTNER","false"
"2326",531,"Eritrea",1993,1999,"Christians",1000,53101000,NA,0.48,"SENIOR PARTNER","false"
"2327",531,"Eritrea",1993,1999,"Other Muslims",2000,53102000,NA,0.45,"JUNIOR PARTNER","false"
"2328",531,"Eritrea",1993,1999,"Afar",3000,53103000,NA,0.05,"DISCRIMINATED","false"
"2329",531,"Eritrea",2000,2008,"Christians",1000,53101000,NA,0.48,"SENIOR PARTNER","false"
"2330",531,"Eritrea",2000,2008,"Other Muslims",2100,53102100,53102000,0.43,"JUNIOR PARTNER","false"
"2331",531,"Eritrea",2000,2008,"Afar",3000,53103000,NA,0.05,"DISCRIMINATED","false"
"2332",531,"Eritrea",2000,2008,"Kunama",2200,53102200,53102000,0.02,"DISCRIMINATED","false"
"2333",531,"Eritrea",2009,2021,"Christians",1000,53101000,NA,0.48,"SENIOR PARTNER","false"
"2334",531,"Eritrea",2009,2021,"Other Muslims",2100,53102100,53102000,0.39,"JUNIOR PARTNER","false"
"2335",531,"Eritrea",2009,2021,"Afar",3000,53103000,NA,0.05,"DISCRIMINATED","false"
"2336",531,"Eritrea",2009,2021,"Saho",2300,53102300,53102000,0.04,"DISCRIMINATED","false"
"2337",531,"Eritrea",2009,2021,"Kunama",2200,53102200,53102000,0.02,"DISCRIMINATED","false"
"2338",540,"Angola",1975,2002,"Ovimbundu-Ovambo",5000,54005000,NA,0.38,"DISCRIMINATED","false"
"2339",540,"Angola",1975,2002,"Mbundu-Mestico",4000,54004000,NA,0.26,"MONOPOLY",""
"2340",540,"Angola",1975,2002,"Bakongo",1000,54001000,NA,0.13,"POWERLESS","false"
"2341",540,"Angola",1975,2002,"Lunda-Chokwe",3000,54003000,NA,0.09,"DISCRIMINATED","false"
"2342",540,"Angola",1975,2002,"Cabindan Mayombe",2000,54002000,NA,0.02,"POWERLESS","false"
"2343",540,"Angola",2003,2021,"Ovimbundu-Ovambo",5000,54005000,NA,0.38,"POWERLESS","false"
"2344",540,"Angola",2003,2021,"Mbundu-Mestico",4000,54004000,NA,0.26,"DOMINANT",""
"2345",540,"Angola",2003,2021,"Bakongo",1000,54001000,NA,0.13,"POWERLESS","false"
"2346",540,"Angola",2003,2021,"Lunda-Chokwe",3000,54003000,NA,0.09,"POWERLESS","false"
"2347",540,"Angola",2003,2021,"Cabindan Mayombe",2000,54002000,NA,0.02,"POWERLESS","false"
"2348",541,"Mozambique",1975,2014,"Tsonga-Chopi",4000,54104000,NA,0.287,"SENIOR PARTNER","false"
"2349",541,"Mozambique",1975,2014,"Shona-Ndau",3000,54103000,NA,0.098,"POWERLESS","false"
"2350",541,"Mozambique",1975,2014,"Makonde-Yao",1000,54101000,NA,0.067,"JUNIOR PARTNER","false"
"2351",541,"Mozambique",2015,2021,"Tsonga-Chopi",4000,54104000,NA,0.287,"SENIOR PARTNER","false"
"2352",541,"Mozambique",2015,2021,"Shona-Ndau",3000,54103000,NA,0.098,"POWERLESS","false"
"2353",541,"Mozambique",2015,2021,"Makonde-Yao",1000,54101000,NA,0.067,"SENIOR PARTNER","false"
"2354",551,"Zambia",1964,1965,"Bemba speakers",1000,55101000,NA,0.43,"SENIOR PARTNER","false"
"2355",551,"Zambia",1964,1965,"Nyanja speakers (Easterners)",6000,55106000,NA,0.3,"SENIOR PARTNER","false"
"2356",551,"Zambia",1964,1965,"Tonga-Ila-Lenje (Southerners)",7000,55107000,NA,0.12,"SENIOR PARTNER","false"
"2357",551,"Zambia",1964,1965,"Lozi (Barotse)",3000,55103000,NA,0.08,"JUNIOR PARTNER","true"
"2358",551,"Zambia",1964,1965,"Luanda (NW Province)",4000,55104000,NA,0.03,"JUNIOR PARTNER","false"
"2359",551,"Zambia",1964,1965,"Kaonde (NW Province)",2000,55102000,NA,0.02,"JUNIOR PARTNER","false"
"2360",551,"Zambia",1964,1965,"Luvale (NW Province)",5000,55105000,NA,0.02,"JUNIOR PARTNER","false"
"2361",551,"Zambia",1966,2016,"Bemba speakers",1000,55101000,NA,0.43,"SENIOR PARTNER","false"
"2362",551,"Zambia",1966,2016,"Nyanja speakers (Easterners)",6000,55106000,NA,0.3,"SENIOR PARTNER","false"
"2363",551,"Zambia",1966,2016,"Tonga-Ila-Lenje (Southerners)",7000,55107000,NA,0.12,"SENIOR PARTNER","false"
"2364",551,"Zambia",1966,2016,"Lozi (Barotse)",3000,55103000,NA,0.08,"JUNIOR PARTNER","false"
"2365",551,"Zambia",1966,2016,"Luanda (NW Province)",4000,55104000,NA,0.03,"JUNIOR PARTNER","false"
"2366",551,"Zambia",1966,2016,"Kaonde (NW Province)",2000,55102000,NA,0.02,"JUNIOR PARTNER","false"
"2367",551,"Zambia",1966,2016,"Luvale (NW Province)",5000,55105000,NA,0.02,"JUNIOR PARTNER","false"
"2368",551,"Zambia",2017,2021,"Bemba speakers",1000,55101000,NA,0.43,"SENIOR PARTNER","false"
"2369",551,"Zambia",2017,2021,"Nyanja speakers (Easterners)",6000,55106000,NA,0.3,"SENIOR PARTNER","false"
"2370",551,"Zambia",2017,2021,"Tonga-Ila-Lenje (Southerners)",7000,55107000,NA,0.12,"POWERLESS","false"
"2371",551,"Zambia",2017,2021,"Lozi (Barotse)",3000,55103000,NA,0.08,"JUNIOR PARTNER","false"
"2372",551,"Zambia",2017,2021,"Luanda (NW Province)",4000,55104000,NA,0.03,"JUNIOR PARTNER","false"
"2373",551,"Zambia",2017,2021,"Kaonde (NW Province)",2000,55102000,NA,0.02,"JUNIOR PARTNER","false"
"2374",551,"Zambia",2017,2021,"Luvale (NW Province)",5000,55105000,NA,0.02,"JUNIOR PARTNER","false"
"2375",552,"Zimbabwe (Rhodesia)",1965,1979,"Africans",1000,55201000,NA,0.97,"DISCRIMINATED","false"
"2376",552,"Zimbabwe (Rhodesia)",1965,1979,"White Zimbabweans",2000,55202000,NA,0.03,"MONOPOLY",""
"2377",552,"Zimbabwe (Rhodesia)",1980,1981,"Shona",1200,55201200,55201000,0.77,"SENIOR PARTNER","false"
"2378",552,"Zimbabwe (Rhodesia)",1980,1981,"Ndebele-Kalanga-(Tonga)",1100,55201100,55201000,0.2,"JUNIOR PARTNER","false"
"2379",552,"Zimbabwe (Rhodesia)",1980,1981,"White Zimbabweans",2000,55202000,NA,0.03,"JUNIOR PARTNER","false"
"2380",552,"Zimbabwe (Rhodesia)",1982,1987,"Shona (minus Ndau)",1220,55201220,55201200,0.74,"SENIOR PARTNER","false"
"2381",552,"Zimbabwe (Rhodesia)",1982,1987,"Ndebele-Kalanga-(Tonga)",1100,55201100,55201000,0.2,"DISCRIMINATED","false"
"2382",552,"Zimbabwe (Rhodesia)",1982,1987,"Ndau (Shona sub-group)",1210,55201210,55201200,0.03,"DISCRIMINATED","false"
"2383",552,"Zimbabwe (Rhodesia)",1982,1987,"White Zimbabweans",2000,55202000,NA,0.03,"JUNIOR PARTNER","false"
"2384",552,"Zimbabwe (Rhodesia)",1988,1991,"Shona (minus Manyika & Ndau)",1222,55201222,55201220,0.61,"SENIOR PARTNER","false"
"2385",552,"Zimbabwe (Rhodesia)",1988,1991,"Ndebele-Kalanga-(Tonga)",1100,55201100,55201000,0.2,"JUNIOR PARTNER","false"
"2386",552,"Zimbabwe (Rhodesia)",1988,1991,"Manyika (Shona sub-group)",1221,55201221,55201220,0.13,"DISCRIMINATED","false"
"2387",552,"Zimbabwe (Rhodesia)",1988,1991,"Ndau (Shona sub-group)",1210,55201210,55201200,0.03,"DISCRIMINATED","false"
"2388",552,"Zimbabwe (Rhodesia)",1988,1991,"White Zimbabweans",2000,55202000,NA,0.03,"JUNIOR PARTNER","false"
"2389",552,"Zimbabwe (Rhodesia)",1992,1999,"Shona",1200,55201200,55201000,0.77,"SENIOR PARTNER","false"
"2390",552,"Zimbabwe (Rhodesia)",1992,1999,"Ndebele-Kalanga-(Tonga)",1100,55201100,55201000,0.2,"JUNIOR PARTNER","false"
"2391",552,"Zimbabwe (Rhodesia)",1992,1999,"White Zimbabweans",2000,55202000,NA,0.03,"JUNIOR PARTNER","false"
"2392",552,"Zimbabwe (Rhodesia)",2000,2008,"Shona",1200,55201200,55201000,0.77,"DOMINANT",""
"2393",552,"Zimbabwe (Rhodesia)",2000,2008,"Ndebele-Kalanga-(Tonga)",1100,55201100,55201000,0.2,"DISCRIMINATED","false"
"2394",552,"Zimbabwe (Rhodesia)",2000,2008,"White Zimbabweans",2000,55202000,NA,0.01,"DISCRIMINATED","false"
"2395",552,"Zimbabwe (Rhodesia)",2009,2010,"Shona",1200,55201200,55201000,0.77,"SENIOR PARTNER","false"
"2396",552,"Zimbabwe (Rhodesia)",2009,2010,"Ndebele-Kalanga-(Tonga)",1100,55201100,55201000,0.2,"JUNIOR PARTNER","false"
"2397",552,"Zimbabwe (Rhodesia)",2009,2010,"White Zimbabweans",2000,55202000,NA,0.01,"DISCRIMINATED","false"
"2398",552,"Zimbabwe (Rhodesia)",2011,2021,"Shona",1200,55201200,55201000,0.82,"SENIOR PARTNER","false"
"2399",552,"Zimbabwe (Rhodesia)",2011,2021,"Ndebele-Kalanga-(Tonga)",1100,55201100,55201000,0.14,"JUNIOR PARTNER","false"
"2400",552,"Zimbabwe (Rhodesia)",2011,2021,"White Zimbabweans",2000,55202000,NA,0.01,"DISCRIMINATED","false"
"2401",553,"Malawi",1964,1994,"Southerners (Lomwe, Mang'anja, Nyanja, Yao)",1000,55301000,NA,0.46,"POWERLESS","false"
"2402",553,"Malawi",1964,1994,"Central (Chewa)",2000,55302000,NA,0.4,"DOMINANT",""
"2403",553,"Malawi",1964,1994,"Northerners (Tumbuka, Tonga, Ngonde)",3000,55303000,NA,0.14,"POWERLESS","false"
"2404",553,"Malawi",1995,2020,"Southerners (Lomwe, Mang'anja, Nyanja, Yao)",1000,55301000,NA,0.46,"SENIOR PARTNER","false"
"2405",553,"Malawi",1995,2020,"Central (Chewa)",2000,55302000,NA,0.4,"JUNIOR PARTNER","false"
"2406",553,"Malawi",1995,2020,"Northerners (Tumbuka, Tonga, Ngonde)",3000,55303000,NA,0.14,"JUNIOR PARTNER","false"
"2407",553,"Malawi",2021,2021,"Southerners (Lomwe, Mang'anja, Nyanja, Yao)",1000,55301000,NA,0.46,"JUNIOR PARTNER","false"
"2408",553,"Malawi",2021,2021,"Central (Chewa)",2000,55302000,NA,0.4,"SENIOR PARTNER","false"
"2409",553,"Malawi",2021,2021,"Northerners (Tumbuka, Tonga, Ngonde)",3000,55303000,NA,0.14,"JUNIOR PARTNER","false"
"2410",560,"South Africa",1946,1947,"Blacks",5000,56005000,NA,0.77,"DISCRIMINATED","false"
"2411",560,"South Africa",1946,1947,"Afrikaners",1000,56001000,NA,0.08,"POWERLESS","false"
"2412",560,"South Africa",1946,1947,"Coloreds",3000,56003000,NA,0.08,"POWERLESS","false"
"2413",560,"South Africa",1946,1947,"English Speakers",4000,56004000,NA,0.045,"DOMINANT",""
"2414",560,"South Africa",1946,1947,"Asians",2000,56002000,NA,0.02,"POWERLESS","false"
"2415",560,"South Africa",1948,1989,"Blacks",5000,56005000,NA,0.77,"DISCRIMINATED","false"
"2416",560,"South Africa",1948,1989,"Afrikaners",1000,56001000,NA,0.08,"DOMINANT",""
"2417",560,"South Africa",1948,1989,"Coloreds",3000,56003000,NA,0.08,"DISCRIMINATED","false"
"2418",560,"South Africa",1948,1989,"English Speakers",4000,56004000,NA,0.045,"POWERLESS","false"
"2419",560,"South Africa",1948,1989,"Asians",2000,56002000,NA,0.02,"DISCRIMINATED","false"
"2420",560,"South Africa",1990,1994,"Blacks",5000,56005000,NA,0.77,"POWERLESS","false"
"2421",560,"South Africa",1990,1994,"Afrikaners",1000,56001000,NA,0.08,"DOMINANT",""
"2422",560,"South Africa",1990,1994,"Coloreds",3000,56003000,NA,0.08,"POWERLESS","false"
"2423",560,"South Africa",1990,1994,"English Speakers",4000,56004000,NA,0.045,"POWERLESS","false"
"2424",560,"South Africa",1990,1994,"Asians",2000,56002000,NA,0.02,"POWERLESS","false"
"2425",560,"South Africa",1995,2008,"Zulu",5100,56005100,56005000,0.23,"JUNIOR PARTNER","false"
"2426",560,"South Africa",1995,2008,"Xhosa",5200,56005200,56005000,0.18,"SENIOR PARTNER","false"
"2427",560,"South Africa",1995,2008,"Pedi (North Sotho)",5310,56005310,56005000,0.09,"JUNIOR PARTNER","false"
"2428",560,"South Africa",1995,2008,"Afrikaners",1000,56001000,NA,0.08,"JUNIOR PARTNER","false"
"2429",560,"South Africa",1995,2008,"Coloreds",3000,56003000,NA,0.08,"JUNIOR PARTNER","false"
"2430",560,"South Africa",1995,2008,"South Sotho",5320,56005320,56005000,0.08,"JUNIOR PARTNER","false"
"2431",560,"South Africa",1995,2008,"Tswana",5400,56005400,56005000,0.08,"JUNIOR PARTNER","false"
"2432",560,"South Africa",1995,2008,"English Speakers",4000,56004000,NA,0.045,"JUNIOR PARTNER","false"
"2433",560,"South Africa",1995,2008,"Tsonga",5500,56005500,56005000,0.04,"JUNIOR PARTNER","false"
"2434",560,"South Africa",1995,2008,"Swazi",5600,56005600,56005000,0.025,"JUNIOR PARTNER","false"
"2435",560,"South Africa",1995,2008,"Asians",2000,56002000,NA,0.02,"JUNIOR PARTNER","false"
"2436",560,"South Africa",1995,2008,"Venda",5700,56005700,56005000,0.02,"JUNIOR PARTNER","false"
"2437",560,"South Africa",1995,2008,"Ndebele",5800,56005800,56005000,0.015,"JUNIOR PARTNER","false"
"2438",560,"South Africa",1995,2008,"San",5900,56005900,56005000,2e-04,"POWERLESS","false"
"2439",560,"South Africa",2009,2019,"Zulu",5100,56005100,56005000,0.23,"SENIOR PARTNER","false"
"2440",560,"South Africa",2009,2019,"Xhosa",5200,56005200,56005000,0.18,"JUNIOR PARTNER","false"
"2441",560,"South Africa",2009,2019,"Pedi (North Sotho)",5310,56005310,56005000,0.09,"JUNIOR PARTNER","false"
"2442",560,"South Africa",2009,2019,"Afrikaners",1000,56001000,NA,0.08,"JUNIOR PARTNER","false"
"2443",560,"South Africa",2009,2019,"Coloreds",3000,56003000,NA,0.08,"JUNIOR PARTNER","false"
"2444",560,"South Africa",2009,2019,"South Sotho",5320,56005320,56005000,0.08,"JUNIOR PARTNER","false"
"2445",560,"South Africa",2009,2019,"Tswana",5400,56005400,56005000,0.08,"JUNIOR PARTNER","false"
"2446",560,"South Africa",2009,2019,"English Speakers",4000,56004000,NA,0.045,"JUNIOR PARTNER","false"
"2447",560,"South Africa",2009,2019,"Tsonga",5500,56005500,56005000,0.04,"JUNIOR PARTNER","false"
"2448",560,"South Africa",2009,2019,"Swazi",5600,56005600,56005000,0.025,"JUNIOR PARTNER","false"
"2449",560,"South Africa",2009,2019,"Asians",2000,56002000,NA,0.02,"JUNIOR PARTNER","false"
"2450",560,"South Africa",2009,2019,"Venda",5700,56005700,56005000,0.02,"JUNIOR PARTNER","false"
"2451",560,"South Africa",2009,2019,"Ndebele",5800,56005800,56005000,0.015,"JUNIOR PARTNER","false"
"2452",560,"South Africa",2009,2019,"San",5900,56005900,56005000,2e-04,"POWERLESS","false"
"2453",560,"South Africa",2020,2021,"Zulu",5100,56005100,56005000,0.23,"SENIOR PARTNER","false"
"2454",560,"South Africa",2020,2021,"Xhosa",5200,56005200,56005000,0.18,"SENIOR PARTNER","false"
"2455",560,"South Africa",2020,2021,"Pedi (North Sotho)",5310,56005310,56005000,0.09,"SENIOR PARTNER","false"
"2456",560,"South Africa",2020,2021,"Afrikaners",1000,56001000,NA,0.08,"SENIOR PARTNER","false"
"2457",560,"South Africa",2020,2021,"Coloreds",3000,56003000,NA,0.08,"SENIOR PARTNER","false"
"2458",560,"South Africa",2020,2021,"South Sotho",5320,56005320,56005000,0.08,"SENIOR PARTNER","false"
"2459",560,"South Africa",2020,2021,"Tswana",5400,56005400,56005000,0.08,"SENIOR PARTNER","false"
"2460",560,"South Africa",2020,2021,"English Speakers",4000,56004000,NA,0.045,"SENIOR PARTNER","false"
"2461",560,"South Africa",2020,2021,"Tsonga",5500,56005500,56005000,0.04,"SENIOR PARTNER","false"
"2462",560,"South Africa",2020,2021,"Swazi",5600,56005600,56005000,0.025,"SENIOR PARTNER","false"
"2463",560,"South Africa",2020,2021,"Asians",2000,56002000,NA,0.02,"SENIOR PARTNER","false"
"2464",560,"South Africa",2020,2021,"Venda",5700,56005700,56005000,0.02,"SENIOR PARTNER","false"
"2465",560,"South Africa",2020,2021,"Ndebele",5800,56005800,56005000,0.015,"SENIOR PARTNER","false"
"2466",560,"South Africa",2020,2021,"San",5900,56005900,56005000,2e-04,"POWERLESS","false"
"2467",565,"Namibia",1990,2014,"Ovambo",9000,56509000,NA,0.498,"SENIOR PARTNER","false"
"2468",565,"Namibia",1990,2014,"Kavango",6000,56506000,NA,0.094,"JUNIOR PARTNER","false"
"2469",565,"Namibia",1990,2014,"Whites",11000,56511000,NA,0.063,"JUNIOR PARTNER","false"
"2470",565,"Namibia",1990,2014,"Herero, Mbanderu",5000,56505000,NA,0.06,"JUNIOR PARTNER","false"
"2471",565,"Namibia",1990,2014,"Nama",8000,56508000,NA,0.048,"JUNIOR PARTNER","false"
"2472",565,"Namibia",1990,2014,"Damara",4000,56504000,NA,0.045,"JUNIOR PARTNER","false"
"2473",565,"Namibia",1990,2014,"Coloreds",3000,56503000,NA,0.04,"JUNIOR PARTNER","false"
"2474",565,"Namibia",1990,2014,"Basubia",2000,56502000,NA,0.03,"JUNIOR PARTNER","false"
"2475",565,"Namibia",1990,2014,"Mafwe",7000,56507000,NA,0.03,"POWERLESS","false"
"2476",565,"Namibia",1990,2014,"San",10000,56510000,NA,0.03,"POWERLESS","false"
"2477",565,"Namibia",1990,2014,"Baster",1000,56501000,NA,0.023,"POWERLESS","false"
"2478",565,"Namibia",1990,2014,"Himba",12000,56512000,NA,0.01,"POWERLESS","false"
"2479",565,"Namibia",2015,2021,"Ovambo",9000,56509000,NA,0.498,"SENIOR PARTNER","false"
"2480",565,"Namibia",2015,2021,"Kavango",6000,56506000,NA,0.094,"JUNIOR PARTNER","false"
"2481",565,"Namibia",2015,2021,"Whites",11000,56511000,NA,0.063,"JUNIOR PARTNER","false"
"2482",565,"Namibia",2015,2021,"Herero, Mbanderu",5000,56505000,NA,0.06,"JUNIOR PARTNER","false"
"2483",565,"Namibia",2015,2021,"Nama",8000,56508000,NA,0.048,"JUNIOR PARTNER","false"
"2484",565,"Namibia",2015,2021,"Damara",4000,56504000,NA,0.045,"SENIOR PARTNER","false"
"2485",565,"Namibia",2015,2021,"Coloreds",3000,56503000,NA,0.04,"JUNIOR PARTNER","false"
"2486",565,"Namibia",2015,2021,"Basubia",2000,56502000,NA,0.03,"JUNIOR PARTNER","false"
"2487",565,"Namibia",2015,2021,"Mafwe",7000,56507000,NA,0.03,"POWERLESS","false"
"2488",565,"Namibia",2015,2021,"San",10000,56510000,NA,0.03,"POWERLESS","false"
"2489",565,"Namibia",2015,2021,"Baster",1000,56501000,NA,0.023,"POWERLESS","false"
"2490",565,"Namibia",2015,2021,"Himba",12000,56512000,NA,0.01,"POWERLESS","false"
"2491",570,"Lesotho",1966,2021,"Sotho",1000,57001000,NA,1,"IRRELEVANT",""
"2492",571,"Botswana",1966,2021,"Tswana",1000,57101000,NA,0.57,"SENIOR PARTNER","false"
"2493",571,"Botswana",1966,2021,"Kalanga",2000,57102000,NA,0.08,"JUNIOR PARTNER","false"
"2494",571,"Botswana",1966,2021,"Kgalagadi",3000,57103000,NA,0.02,"POWERLESS","false"
"2495",571,"Botswana",1966,2021,"San",11000,57111000,NA,0.02,"POWERLESS","false"
"2496",571,"Botswana",1966,2021,"Herero/Mbanderu",4000,57104000,NA,0.017,"POWERLESS","false"
"2497",571,"Botswana",1966,2021,"White",5000,57105000,NA,0.015,"JUNIOR PARTNER","false"
"2498",571,"Botswana",1966,2021,"Yeyi",6000,57106000,NA,0.011,"POWERLESS","false"
"2499",571,"Botswana",1966,2021,"Mbukushu",7000,57107000,NA,0.011,"POWERLESS","false"
"2500",571,"Botswana",1966,2021,"Birwa",8000,57108000,NA,0.008,"POWERLESS","false"
"2501",571,"Botswana",1966,2021,"Tswapong",9000,57109000,NA,0.001,"POWERLESS","false"
"2502",572,"Swaziland (Eswatini)",1968,2021,"Swazi",1000,57201000,NA,1,"IRRELEVANT",""
"2503",580,"Madagascar (Malagasy)",1960,1972,"Côtiers",1000,58001000,NA,0.479,"DOMINANT",""
"2504",580,"Madagascar (Malagasy)",1960,1972,"Highlanders",2000,58002000,NA,0.395,"POWERLESS","false"
"2505",580,"Madagascar (Malagasy)",1973,1975,"Côtiers",1000,58001000,NA,0.479,"JUNIOR PARTNER","false"
"2506",580,"Madagascar (Malagasy)",1973,1975,"Highlanders",2000,58002000,NA,0.395,"SENIOR PARTNER","false"
"2507",580,"Madagascar (Malagasy)",1976,2001,"Côtiers",1000,58001000,NA,0.479,"SENIOR PARTNER","false"
"2508",580,"Madagascar (Malagasy)",1976,2001,"Highlanders",2000,58002000,NA,0.395,"JUNIOR PARTNER","false"
"2509",580,"Madagascar (Malagasy)",2002,2021,"Côtiers",1000,58001000,NA,0.479,"IRRELEVANT",""
"2510",580,"Madagascar (Malagasy)",2002,2021,"Highlanders",2000,58002000,NA,0.395,"IRRELEVANT",""
"2511",581,"Comoros",1975,1997,"Ngazidja Comorans",3000,58103000,NA,0.505,"SENIOR PARTNER","false"
"2512",581,"Comoros",1975,1997,"Nzwani Comorans",1000,58101000,NA,0.443,"JUNIOR PARTNER","false"
"2513",581,"Comoros",1975,1997,"Mwali Comorans",2000,58102000,NA,0.052,"JUNIOR PARTNER","false"
"2514",581,"Comoros",1998,2001,"Ngazidja Comorans",3000,58103000,NA,0.505,"DOMINANT","false"
"2515",581,"Comoros",1998,2001,"Nzwani Comorans",1000,58101000,NA,0.443,"SELF-EXCLUSION","true"
"2516",581,"Comoros",1998,2001,"Mwali Comorans",2000,58102000,NA,0.052,"SELF-EXCLUSION","true"
"2517",581,"Comoros",2002,2018,"Ngazidja Comorans",3000,58103000,NA,0.505,"SENIOR PARTNER","true"
"2518",581,"Comoros",2002,2018,"Nzwani Comorans",1000,58101000,NA,0.443,"SENIOR PARTNER","true"
"2519",581,"Comoros",2002,2018,"Mwali Comorans",2000,58102000,NA,0.052,"SENIOR PARTNER","true"
"2520",581,"Comoros",2019,2021,"Ngazidja Comorans",3000,58103000,NA,0.505,"DOMINANT","false"
"2521",581,"Comoros",2019,2021,"Nzwani Comorans",1000,58101000,NA,0.443,"POWERLESS","false"
"2522",581,"Comoros",2019,2021,"Mwali Comorans",2000,58102000,NA,0.052,"POWERLESS","false"
"2523",590,"Mauritius",1968,1969,"Hindus",1000,59001000,NA,0.52,"SENIOR PARTNER","false"
"2524",590,"Mauritius",1968,1969,"Creoles",3000,59003000,NA,0.27,"POWERLESS","false"
"2525",590,"Mauritius",1968,1969,"Muslims",2000,59002000,NA,0.16,"JUNIOR PARTNER","false"
"2526",590,"Mauritius",1968,1969,"Franco-Mauritians",4000,59004000,NA,0.02,"POWERLESS","false"
"2527",590,"Mauritius",1970,1976,"Hindus",1000,59001000,NA,0.52,"SENIOR PARTNER","false"
"2528",590,"Mauritius",1970,1976,"Creoles",3000,59003000,NA,0.27,"JUNIOR PARTNER","false"
"2529",590,"Mauritius",1970,1976,"Muslims",2000,59002000,NA,0.16,"JUNIOR PARTNER","false"
"2530",590,"Mauritius",1970,1976,"Franco-Mauritians",4000,59004000,NA,0.02,"JUNIOR PARTNER","false"
"2531",590,"Mauritius",1977,1982,"Hindus",1000,59001000,NA,0.52,"SENIOR PARTNER","false"
"2532",590,"Mauritius",1977,1982,"Creoles",3000,59003000,NA,0.27,"JUNIOR PARTNER","false"
"2533",590,"Mauritius",1977,1982,"Muslims",2000,59002000,NA,0.16,"POWERLESS","false"
"2534",590,"Mauritius",1977,1982,"Franco-Mauritians",4000,59004000,NA,0.02,"JUNIOR PARTNER","false"
"2535",590,"Mauritius",1983,1983,"Hindus",1000,59001000,NA,0.52,"SENIOR PARTNER","false"
"2536",590,"Mauritius",1983,1983,"Black Creoles",3100,59003100,59003000,0.225,"JUNIOR PARTNER","false"
"2537",590,"Mauritius",1983,1983,"Muslims",2000,59002000,NA,0.16,"JUNIOR PARTNER","false"
"2538",590,"Mauritius",1983,1983,"Gens-de-Couleur",3200,59003200,59003000,0.045,"POWERLESS","false"
"2539",590,"Mauritius",1983,1983,"Franco-Mauritians",4000,59004000,NA,0.02,"JUNIOR PARTNER","false"
"2540",590,"Mauritius",1984,1987,"Hindus",1000,59001000,NA,0.52,"SENIOR PARTNER","false"
"2541",590,"Mauritius",1984,1987,"Creoles",3000,59003000,NA,0.27,"JUNIOR PARTNER","false"
"2542",590,"Mauritius",1984,1987,"Muslims",2000,59002000,NA,0.16,"JUNIOR PARTNER","false"
"2543",590,"Mauritius",1984,1987,"Franco-Mauritians",4000,59004000,NA,0.02,"POWERLESS","false"
"2544",590,"Mauritius",1988,1991,"Hindi-speaking Hindus",1100,59001100,59001000,0.4,"SENIOR PARTNER","false"
"2545",590,"Mauritius",1988,1991,"Creoles",3000,59003000,NA,0.27,"JUNIOR PARTNER","false"
"2546",590,"Mauritius",1988,1991,"Muslims",2000,59002000,NA,0.16,"JUNIOR PARTNER","false"
