NVC2.1_location,NVC2.1_id,NVC2.1_loc_cow,NVC2.1_start_year,NVC2.1_end_year,NVC2.1_camp_name,NVC2.1_prim_meth,NVC2.1_total_part,NVC2.1_progress,NVC2.1_success,NVC2.1_failure,NVC2.1_campaign,NVC2.1_camp_goals
Madagascar,83,580,1947,1948,Franco-Madagascan,0,200001,5,0,1,1,5
Chad,85,483,1966,1990,Frolinat,0,NA,4,1,0,1,0
Mozambique,86,541,1963,1974,Front for the Liberation of Mozambique,1,15000,4,1,0,1,5
Indonesia,87,850,1976,2005,GAM,0,70,5,0,1,1,3
Greece,89,350,1973,1974,Greece Anti-Military,1,15000,4,1,0,1,0
Lebanon,90,660,1982,2000,Hizballah,0,100000,5,0,1,1,5
Philippines,91,840,1946,1954,Hukbalahap Rebellion,0,15000,5,0,1,1,0
China,92,710,1956,1957,Hundred Flowers Movement,1,500000,5,0,1,1,2
Hungary,93,310,1956,1956,Hungary Anti-Communist,1,300000,5,0,1,1,0
Hungary,94,310,1956,1956,Hungary Anti-Soviet Occupation,1,1001,5,0,1,1,5
Hungary,95,310,1989,1989,Hungary pro-dem movement,1,100000,4,1,0,1,0
Hyderabad,96,750,1947,1948,Hyderabad Accession Movement,0,NA,4,1,0,1,0
UK,97,200,1968,1998,IRA,1,300,5,0,1,1,3
Morocco,98,600,1957,1958,Ifni war,0,6000,5,0,1,1,5
Vietnam,100,816,1945,1954,Indochina revolt,0,NA,4,1,0,1,5
Indonesia,101,850,1945,1949,Indonesian Revolt,0,100000,4,1,0,1,5
Indonesia,102,850,1956,1960,Indonesian leftists / Anti Sukarno,0,6000,5,0,1,1,0
Iran,103,630,1981,1982,Iranian Mujahideen,0,20000,5,0,1,1,0
Iran,104,630,1971,1979,Iranian Revolution,0,140,4,1,0,1,0
Iraq,105,645,2003,2013,Iraqi insurgency,0,5000,0,0,0,1,0
Algeria,106,615,1989,2013,Islamic Salvation Front,1,NA,0,0,0,1,0
Sudan,107,625,2003,2012,JEM/SLA,0,4001,5,0,1,1,2
Sri Lanka,108,780,1971,1971,JVP,0,20000,5,0,1,1,0
Palestine,109,,1945,1948,Jewish resistance,0,NA,4,1,0,1,3
Iraq,110,645,1996,1996,Kurdish civil conflict,0,55000,5,0,1,1,4
Iran,111,630,1979,1996,KDPI,0,10000,5,0,1,1,4
Democratic Republic of Congo,112,490,1996,1997,Kabila-ADFL,0,20000,4,1,0,1,0
India,115,750,1990,2013,Kashmiri Muslim separatists,0,3000,0,0,0,1,3
Democratic Republic of Congo,116,490,1960,1965,Katanga-led leftists,0,13500,5,0,1,1,3
Cambodia,117,811,1960,1975,Khmer Rouge,0,101,4,1,0,1,0
Egypt,118,651,2003,2005,Kifaya,1,10000,5,0,1,1,1
Yugoslavia,119,345,1989,1999,Kosovo Albanian,1,12000,5,0,1,1,4
Yugoslavia,120,345,1981,1981,Kosovo Albanian nationalist movement,1,20000,5,0,1,1,4
Iraq,121,645,1985,1993,Kurdish Secession against Saddam,0,22000,5,0,1,1,4
Iraq,122,645,1961,1975,Kurdish rebellion,0,15000,5,0,1,1,4
Kyrgyzstan,123,703,1990,1991,Kyrgyzstan Democratic Movement,1,10000,4,1,0,1,0
Uganda,124,500,1986,2013,LRA,0,10000,0,0,0,1,0
Sri Lanka,125,780,1972,2009,LTTE,1,100001,5,0,1,1,2
Liberia,126,450,1999,2003,LURD,0,3000,4,1,0,1,0
Latvia,127,367,1989,1991,Latvia pro-dem movement,1,2000000,4,1,0,1,3
Lebanon,128,660,1975,1975,Lebanon leftists,0,NA,5,0,1,1,0
Colombia,129,100,1946,1953,Liberals of 1949,1,NA,5,0,1,1,0
Madagascar,130,580,2002,2002,Madagasar pro-democracy movement,1,1000000,4,1,0,1,0
Malaysia,131,820,1948,1960,Malayan Emergency,0,5000,5,0,1,1,5
Mali,132,432,1990,1992,Mali Anti-Military,1,1500,4,1,0,1,0
Guatemala,133,90,1961,1996,Leftist rebels (URNG),0,50,5,0,1,1,2
Kenya,134,501,1952,1956,Mau Mau Rebellion,0,120000,5,0,1,1,5
India,135,750,1966,1986,Mizo Revolt,0,10000,5,0,1,1,3
Pakistan,136,770,1994,1995,Mohajir,0,70000,5,0,1,1,2
Indonesia,137,850,1950,1950,Moluccans,0,5000,5,0,1,1,3
Mongolia,138,712,1989,1990,Mongolian Anti-communist,1,2000,4,1,0,1,2
Philippines,139,840,1970,2013,Moro National Liberation Front,0,NA,3,0,0,1,3
Morocco,140,600,1953,1956,Moroccan Independence War,0,6000,4,1,0,1,5
Syria,141,652,1980,1982,Muslim Brotherhood,0,30000,5,0,1,1,0
Kenya,142,501,1964,1967,NFDLM secessionists,0,NA,5,0,1,1,3
Liberia,143,450,1992,1995,NPFL & ULIMO,0,35000,5,0,1,1,0
India,144,750,1951,2013,Naga Rebellion,1,7000,0,0,0,1,3
Uganda,145,500,1981,1986,National Resistance Army,0,900,4,1,0,1,0
Costa Rica,146,94,1948,1948,National Union Party,0,600,4,1,0,1,0
Liberia,147,450,1996,1996,National Patriotic Forces,0,30000,5,0,1,1,0
India,148,750,1967,1971,Naxalite rebellion,0,3000,5,0,1,1,0
Nepal,149,790,2006,2006,Nepalese Anti-government,1,1400000,4,1,0,1,0
Philippines,150,840,1972,2013,New People's Army,0,1200,0,0,0,1,0
Niger,151,436,1991,1992,Niger Anti-Military,1,20000,4,1,0,1,2
Nigeria,152,475,1993,1998,Nigeria Anti-Military,1,1000001,4,1,0,1,0
Nigeria,153,475,1945,1950,Nigerian Independence Movement,1,100000,5,0,1,1,5
Nigeria,154,475,1980,1984,Nigerian Muslim fundamentalists,0,10000,5,0,1,1,3
South Vietnam,156,817,1958,1965,National Liberation Front (Viet Cong),0,4500,5,0,1,1,0
Malawi,157,553,1958,1959,Nyasaland African Congress,1,13000,5,0,1,1,5
Nigeria,158,475,1990,1995,Ogoni movement,1,200000,5,0,1,1,4
Ukraine,159,369,2001,2004,Orange Revolution,1,30000,4,1,0,1,0
Guinea-Bissau,160,404,1963,1974,PAIGC,0,4000,4,1,0,1,5
Zimbabwe,161,552,1982,1987,PF-ZAPU guerillas,0,2000,5,0,1,1,0
Ivory Coast,162,437,2002,2005,PMIC/New Forces,0,3000,5,0,1,1,0
Pakistan,163,770,1983,1983,Pakistan Pro-Democracy Movement,1,15000,5,0,1,1,0
Palestinian Territories,164,,1964,2013,Palestinian Liberation,0,300,1,0,0,1,5
Jordan,165,663,1970,1970,Palestinian activists,0,35000,5,0,1,1,4
Paraguay,166,150,1947,1947,Paraguay leftist rebellion,0,9000,5,0,1,1,0
Laos,167,812,1959,1975,Second Pathet Lao,0,9060,4,1,0,1,0
Rwanda,168,517,1994,1994,Patriotic Front,0,14000,4,1,0,1,0
Philippines,169,840,1983,1986,People Power,1,2000000,4,1,0,1,2
Chile,170,155,1973,1973,Pinochet-led rebels,0,60000,4,1,0,1,0
Poland,171,290,1968,1968,Poland Anti-Communist I,1,10001,5,0,1,1,1
Poland,172,290,1970,1970,Poland Anti-Communist II,1,12000,5,0,1,1,1
Poland,173,290,1976,1976,Poland Worker uprising,1,40000,4,1,0,1,1
Tajikistan,174,702,1992,1997,Popular Democratic Army (UTO),0,16000,5,0,1,1,2
Oman,175,698,1964,1976,Popular Front for the Liberation of Oman and the Arab Gulf (PFLOAG),0,800,5,0,1,1,0
Angola,176,540,1961,1974,Popular Movement for the Liberation of Angola,0,NA,4,1,0,1,5
Poland,177,290,1956,1956,Poznan Protests,1,30000,5,0,1,1,0
France,178,220,1960,1962,Pro-French Nationalists,0,500000,5,0,1,1,1
Slovakia,179,317,1989,1992,Public Against Violence,1,70000,4,1,0,1,3
Sierra Leone,180,451,1991,2002,Sierra Leone Civil War,0,1000,5,0,1,1,0
Mozambique,181,541,1979,1992,Renamo,0,2000,5,0,1,1,0
Colombia,182,100,1964,2013,Revolutionary Armed Forces of Colombia and National Liberation Army,0,NA,3,0,0,1,0
Georgia,183,372,2003,2003,Rose Revolution,1,30000,4,1,0,1,0
Yemen Arab Republic,184,678,1962,1969,Royalists,0,30000,5,0,1,1,0
Russia,185,365,1990,1991,Russia pro-dem movement,1,250000,4,1,0,1,2
Rwanda,186,517,1956,1961,Rwandan independence,0,NA,4,1,0,1,2
Sudan,187,625,1983,2005,SPLA-Garang faction,0,2500,5,0,1,1,0
Namibia,188,565,1960,1988,SWAPO,0,101,4,1,0,1,5
Democratic Republic of Congo,189,490,1991,1995,Sacred Union,0,80000,5,0,1,1,0
Lithuania,190,368,1988,1991,Sajudis/ Lithuanian pro-democracy movement/,1,250000,4,1,0,1,3
El Salvador,191,92,1977,1992,Salvadoran Civil Conflict,1,NA,4,1,0,1,1
Burundi,192,516,1988,1988,Second Hutu Rebellion,0,2001,5,0,1,1,0
Cambodia,193,811,1979,1997,Second Khmer Rouge,0,30000,5,0,1,1,5
Philippines,194,840,2000,2001,Second People Power Movement,1,50000,4,1,0,1,0
Peru,195,135,1980,2012,Sendero Luminoso (The Shining Path) Senderista Insurgency,0,520,5,0,1,1,0
Bosnia-Herzegovina,196,346,1991,1995,Serb militias,0,NA,5,0,1,1,3
Iraq,197,645,1959,1959,Shammar Tribe and pro-Western officers,0,3001,5,0,1,1,0
Bangladesh,198,771,1976,1997,Shanti Bahini,0,9000,5,0,1,1,4
Eritrea,199,531,1945,1952,Shifta insurgency,0,100,5,0,1,1,5
Iraq,200,645,1991,1991,Shiite rebellion,0,10001,5,0,1,1,0
India,201,750,1984,1994,Sikh insurgency,0,3000,5,0,1,1,3
Estonia,202,366,1987,1991,Singing Revolution,1,10000,4,1,0,1,4
Slovenia,205,349,1991,1991,Slovenian Independence,0,20000,4,1,0,1,3
Poland,206,290,1980,1989,Solidarity,1,10000000,4,1,0,1,2
Ethiopia,207,530,1976,1983,Somali rebels (Ogaden),0,30000,5,0,1,1,3
Somalia,208,520,1982,1991,Somalia clan factions (SNM),0,4000,4,1,0,1,0
Somalia,209,520,1993,1994,Somalia militia insurgencies,0,10000,4,1,0,1,1
South Africa,210,560,1952,1963,South Africa First Defiance Campaign,1,15000,5,0,1,1,2
South Africa,211,560,1980,1994,South Africa Second Defiance Campaign,0,2000,4,1,0,1,0
South Korea,212,732,1979,1980,South Korea Anti-Junta,1,5000,5,0,1,1,0
South Korea,213,732,1987,1987,South Korea Anti-Military,1,1000001,4,1,0,1,0
South Korea,214,732,1960,1960,South Korea Student Revolution,1,100000,4,1,0,1,0
Taiwan,215,713,1979,1986,Taiwan pro-democracy movement,1,10000,5,0,1,1,2
Taiwan,216,713,1947,1947,Taiwanese Revolt,0,10000,5,0,1,1,4
Afghanistan,217,700,2001,2013,Taliban Resistance,0,5000,1,0,0,1,0
Afghanistan,218,700,1992,1996,Taliban/ Anti-Government Forces,0,241000,4,1,0,1,0
Mali,220,432,1989,1995,Tauregs,0,150,5,0,1,1,-99
Thailand,221,800,1966,1981,Thai communist rebels,0,1500,5,0,1,1,0
Thailand,222,800,1992,1992,Thai pro-dem movement,1,500000,4,1,0,1,0
Thailand,223,800,1973,1973,Thai student protests,1,400000,4,1,0,1,0
Nepal,224,790,1990,1990,The Stir,1,200000,4,1,0,1,0
Burundi,225,516,1991,2008,Third Hutu Rebellion,0,NA,5,0,1,1,0
China,226,710,1989,1989,Tiananmen,1,2000000,5,0,1,1,0
Tibet,227,710,1987,1989,Tibetan Uprising,1,2000,5,0,1,1,5
Tibet,228,710,1956,1959,Tibetan resistance,0,15000,5,0,1,1,5
Ethiopia,229,530,1978,1991,Tigrean Self-Determination Campaign,0,2000,4,1,0,1,4
East Timor,230,860,1975,1999,Timorese Independence Campaign,0,20000,4,1,0,1,5
Kyrgyzstan,231,703,2005,2005,Tulip Revolution,1,50000,4,1,0,1,0
Tunisia,232,616,1952,1954,Tunisian independence movement,1,300000,4,1,0,1,5
Peru,233,135,1996,1997,Tupac Amaru Revolutionary Movement (MRTA) - Senderista Insurgency,0,201,5,0,1,1,1
Uruguay,234,165,1963,1972,Tupamaros,0,20,5,0,1,1,0
Rwanda,235,517,1990,1994,Tutsi rebels,0,2500,4,1,0,1,0
Burundi,236,516,1991,1992,Tutsi supremacists,0,NA,4,1,0,1,0
Angola,237,540,1975,2002,UNITA,0,10000,5,0,1,1,0
USSR,238,365,1945,1949,Ukrainian rebellion,0,100001,5,0,1,1,3
Uruguay,239,165,1984,1985,Uruguay Anti-Military,1,2000001,4,1,0,1,0
Czechoslovakia,240,315,1989,1989,Velvet Revolution,1,2000001,4,1,0,1,0
Rwanda,241,517,1961,1964,Watusi,0,NA,5,0,1,1,2
Indonesia,242,850,1964,2013,West Papuan self-determination campaign,0,NA,0,0,0,1,3
Western Sahara,243,600,1975,1991,Western Sahara Freedom Movement (POLISARIO),0,5000,5,0,1,1,5
Yemen,244,679,1948,1948,Yahya Family revolt,0,2001,4,1,0,1,0
Yemen People's Republic,245,680,1986,1986,Yemen leftists,0,12000,5,0,1,1,0
Yemen,246,679,1955,1959,Yemeni insurgency,0,NA,5,0,1,1,5
Yugoslavia,247,345,1968,1968,Yugoslavia student protests,1,10000,5,0,1,1,2
Zambia,248,551,1990,1991,Zambia Anti-Single Party,1,441900,4,1,0,1,0
Zambia,249,551,1960,1963,Zambia Anti-occupation,1,170001,4,1,0,1,5
Zimbabwe,250,552,1974,1979,Zimbabwe African People's Union,0,6000,5,0,1,1,0
Turkey,251,640,1978,2013,Kurdish rebellion (Turkey),0,300,1,0,0,1,3
Venezuela,252,101,2002,2002,anti-coup Venezuelan campaign,1,200000,4,1,0,1,0
Romania,253,360,1987,1987,Anti-Ceaucescu Movement,1,16000,5,0,1,1,0
Aruba,254,,1977,1977,Aruba Pro-Independence Campaign,1,60000,5,0,1,1,3
Bahrain,255,692,2011,2013,Anti-King Hamad Campaign,1,150000,2,0,0,1,0
Yemen,256,679,2007,2013,Southern Yemen Secessionist Movement,1,10001,1,0,0,1,1
Bolivia,257,145,2003,2003,Anti-Sanchez de Lozada Campaign,1,50001,4,1,0,1,0
Yemen,258,679,2004,2013,al-Houthi Rebellion,0,1001,1,0,0,1,4
Cameroon,259,471,1991,1991,NCCOP Pro-Democracy Movement,1,20001,5,0,1,1,0
Djibouti,260,522,2011,2011,Djibouti Arab Spring,1,20000,5,0,1,1,0
Ecuador,261,130,2005,2005,Rebellion of the Forajidos,1,100001,4,1,0,1,0
Egypt,262,651,2013,2013,Anti-Morsi Protests,1,2000001,4,1,0,1,0
Fiji,263,950,1987,1987,Indo-Fijian Anti-Coup Campaign,1,1000,5,0,1,1,0
Fiji,264,950,2000,2000,Anti-Chaudry Campaign,1,20000,4,1,0,1,0
Honduras,266,91,2009,2011,Frente Nacionalæde Resistencia Popular (FNRP),1,10000,5,0,1,1,0
India,267,750,1974,1977,Anti-Indira Campaign,1,1000001,4,1,0,1,1
Indonesia,268,850,1999,1999,Anti-Habibie Student Protests ,1,19756,4,1,0,1,0
Kyrgyzstan,269,703,2010,2010,Kyrgyz Second Revolution,1,5000,4,1,0,1,0
Libya,270,620,2011,2011,Libyan Civil War,0,NA,4,1,0,1,0
Madagascar,271,580,1972,1972,Anti-Tsiranana Campaign,1,100000,4,1,0,1,0
Madagascar,272,580,2009,2009,Anti-Ravalomanana Movement,1,40000,4,1,0,1,0
Myanmar,273,775,2007,2008,Saffron Revolution,1,200000,5,0,1,1,1
Nepal,274,790,2010,2010,Maoist Anti-Government Protests,1,200001,4,1,0,1,0
Nicaragua,276,93,1978,1978,Anti-Somoza Strikes,1,10000,5,0,1,1,0
Pakistan,277,770,1977,1977,Anti-Bhutto,1,100000,4,1,0,1,0
Pakistan,278,770,1986,1986,Anti-Zia al-Haq,1,200001,5,0,1,1,0
Philippines,279,840,2001,2001,People Power III,1,340000,5,0,1,1,0
South Vietnam,280,817,1964,1966,South Vietnam Anti-Military Govt,1,25000,5,0,1,1,0
Swaziland,281,572,2011,2011,Swaziland Anti-Monarchy Protests,1,2001,5,0,1,1,0
Syria,282,652,2011,2013,Syrian Civil Conflict,1,250000,0,0,0,1,0
Thailand,283,800,2007,2007,Anti-Military Government Campaign,1,15000,4,1,0,1,0
Thailand,284,800,2008,2008,People's Alliance for Democracy Campaign,1,20001,4,1,0,1,0
Togo,285,461,1991,1991,Anti-Eyadema,1,100001,5,0,1,1,0
Togo,286,461,2005,2005,Anti-Gnassingbe/Coup Crisis,1,100000,5,0,1,1,0
Ukraine,287,369,1990,1990,Students Union Protests,1,350000,4,1,0,1,0
Bangladesh,288,771,2004,2007,Awami League Protests,1,100000,4,1,0,1,0
Bolivia,289,145,1984,1985,Anti-Siles Zuazo,1,50000,5,0,1,1,0
Bulgaria,290,355,2013,2013,Dance With Me Campaign,1,20000,3,0,0,1,0
Cote d'Ivoire,292,437,1989,1990,Ivorian Pro-Democracy,1,NA,4,1,0,1,1
Cote d'Ivoire,293,437,2010,2011,Pro-Ouattara Campaign,1,10001,4,1,0,1,0
Democratic Republic of Congo,294,490,2011,2013,"Kivu Rebels (M23, APCLS, PARC-FAAL)",0,500,1,0,0,1,0
Egypt,295,651,2013,2013,Pro-Morsi Protests,1,20001,0,0,0,1,0
Haiti,296,41,1986,1987,Anti-National Governing Council (CNG),1,100000,5,0,1,1,0
Haiti,297,41,2002,2004,Anti-Aristide,1,20001,4,1,0,1,0
Iceland,298,395,2008,2009,Cutlery Revolution,1,2001,4,1,0,1,0
Kyrgyzstan,300,703,2010,2010,Kyrgyz Anti-Interim Goverment ,1,2000,5,0,1,1,0
Malawi,302,553,2011,2012,Anti-Mutharika,1,4000,4,1,0,1,0
Maldives,303,781,2012,2013,Nasheed Supporters,1,3000,5,0,1,1,0
Pakistan,304,770,2007,2008,Anti-Musharraf Campaign (Lawyer's Movement),1,25000,4,1,0,1,0
Senegal,305,433,1982,1983,MFDC Secessionist Campaign (Casamance),1,999,5,0,1,1,3
Suriname,307,115,1983,1984,Anti-Bouterse,1,NA,4,1,0,1,0
Thailand,308,800,2013,2013,Civil Movement for Democracy,1,20001,0,0,0,1,0
Togo,309,461,2012,2013,Let's Save Togo (Anti-Gnassingbe),1,100000,5,0,1,1,0
Tonga,310,955,2005,2006,Tongan Pro-Democracy Protests,1,5000,5,0,1,1,2
Tunisia,311,616,2010,2011,Anti-Ben Ali Campaign (Jasmine Revolution),1,1000,4,1,0,1,0
Tunisia,312,616,2013,2013,Anti-Islamist Government Protests,1,20000,1,0,0,1,0
Turkey,313,640,2013,2013,Anti-Erdogan,1,200001,0,0,0,1,0
Ukraine,314,369,2013,2013,Euromaiden,1,800001,0,0,0,1,0
Yemen,316,679,2011,2012,Anti-Ali Abdullah Saleh,1,2000001,4,1,0,1,0
Algeria,317,615,2010,2012,Anti-Abdelaziz Bouteflika Campaign,1,999,5,0,1,1,2
Armenia,318,371,2008,2009,Armenian Opposition Protest/March 1st Movement,1,20000,5,0,1,1,1
Egypt,319,651,2013,2013,Sinai Insurgency,0,1000,0,0,0,1,0
Jordan,320,663,2011,2013,Protest for Constitutional Reform,1,8000,5,0,1,1,1
Lebanon,321,660,2006,2008,Lebanon Political Crisis,1,200001,4,1,0,1,0
South Sudan,322,626,2013,2013,South Sudanese Civil War,0,25000,0,0,0,1,0
Sudan,323,625,2011,2013,Anti-Al-Bashir Government,1,16000,5,0,1,1,0
Thailand,324,800,2009,2011,Red Shirt Campaign,1,100000,5,0,1,1,0
Central African Republic,325,482,1990,1993,CCCN and Union Pro-Democracy Movement,1,2001,4,1,0,1,1
Democratic Republic of Congo,326,490,2006,2009,CNDP,0,NA,5,0,1,1,1
Guinea,327,438,2007,2010,Guinean Pro-Democracy Movement,1,30000,4,1,0,1,0
Mali,328,432,2012,2013,Northern Mali Conflict,0,NA,0,0,0,1,0
Georgia,329,372,1992,1994,Georgia-Abkhazia War,0,90000,5,0,1,1,3
Egypt,331,651,2007,2011,Anti-Mubarak Movement,1,100,4,1,0,1,1
Georgia,332,372,2007,2013,Anti-Shashkvilli Campaign,1,50000,4,1,0,1,0
Iran,333,630,2009,2013,Green Revolution and Day of Rage,1,2000000,5,0,1,1,0
Nigeria,334,475,2009,2013,Boko Haram,0,NA,0,0,0,1,0
Russia,335,365,2010,2013,"Anti-Putin/ ""Snow Revolution""",1,15000,0,0,0,1,1
South Korea,336,732,1988,1992,Anti-Roh Tae Woo,1,22000,5,0,1,1,0
Haiti,338,41,2005,2011,Pro-Aristide Campaign,1,2001,5,0,1,1,0
Mauritania,339,435,2008,2013,Anti-Aziz Protests,1,100,0,0,0,1,0
Western Sahara,340,600,1999,2013,Western Sahara Independence Movement,1,1001,5,0,1,1,4
Yemen,341,679,2009,2013,Al Qaeda in the Arabian Peninsula,0,500,0,0,0,1,3
Pakistan,342,770,2007,2013,Pakistani Islamist Insurgency,0,5000,0,0,0,1,0
Russia,343,365,2007,2013,Caucasus Emirate,0,NA,0,0,0,1,3
Somalia,344,520,2006,2013,Somali Islamist Insurgency,0,3600,0,0,0,1,0
India,347,750,1980,2013,Naxalite insurgency,0,1000,0,0,0,1,0
Guinea,348,438,2000,2001,RFDG,0,1800,5,0,1,1,0
Myanmar,349,775,1988,2013,Naga Insurgency (Myanmar),0,1100,0,0,0,1,3
India,351,750,1985,2013,Assam Independence Campaign,0,1500,0,0,0,1,3
India,352,750,1987,2013,Bodoland Independence Campaign,0,NA,0,0,0,1,3
